rr	rg	gg	date
1614	1	813	2018-09-15
2695	1426	339	2018-09-27
4216	1992	324	2018-10-09
3580	1712	249	2018-10-21
3983	1992	259	2018-11-02
3576	2329	286	2018-11-14
2101	1441	203	2018-11-26
1166	771	140	2018-12-08
2743	2417	401	2018-12-20
2795	2135	429	2019-01-01
4132	2691	447	2019-01-13
2675	1772	280	2019-01-25
1288	754	113	2019-02-06
2176	1517	191	2019-02-18
2487	1782	272	2019-03-04
1622	1132	162	2019-03-16
2269	1554	216	2019-03-27
