rr	rg	gg	date
58	104	73	2018-08-10
434	820	643	2018-08-21
1614	3059	2549	2018-09-03
778	1483	1233	2018-09-15
340	625	544	2018-09-27
710	1461	1308	2018-10-09
649	1426	1229	2018-10-21
705	1668	1577	2018-11-02
342	932	898	2018-11-14
649	1884	1796	2018-11-26
462	1445	1508	2018-12-08
628	2436	2325	2018-12-20
513	2026	1890	2019-01-01
699	2120	2287	2019-01-13
387	1238	1339	2019-01-25
427	1452	1539	2019-02-06
364	1032	1395	2019-02-18
118	563	641	2019-03-04
138	677	867	2019-03-16
361	1619	2014	2019-03-27
