rr	rg	gg	date
1739	1	849	2018-09-15
2315	1374	477	2018-09-27
1866	1595	369	2018-10-09
2021	1989	566	2018-10-21
1433	1649	449	2018-11-02
1218	1344	352	2018-11-14
1449	1683	462	2018-11-26
564	686	230	2018-12-08
1842	2327	833	2018-12-20
1503	2016	735	2019-01-01
1768	2555	813	2019-01-13
1500	2400	911	2019-01-25
730	1261	530	2019-02-06
1020	1799	802	2019-02-18
911	1495	715	2019-03-04
589	1114	505	2019-03-16
493	1013	496	2019-03-27
